name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Ag100cuscusMOH 0.5128 6.7236 -3.2323 -3.2133 0.3088 -3.2257 1.9300 7.5760 1.3040 9.4528 3.7557 5.6980 0.7000 4.6204 10.0236 11.9498 3.7113 4.8596
Ag110bricusRuOH 0.6677 7.0919 -1.3375 -4.7504 1.8847 -4.0379 2.2000 7.3610 1.0460 6.0681 1.4867 4.5821 1.2192 4.7500 14.2519 13.0316 3.9219 3.6005
Ag110cuscusMOH 0.5203 6.9431 -3.2460 -3.0952 0.4952 -3.6701 1.9300 7.5760 1.3040 9.5010 3.5597 5.9419 0.3643 4.7302 10.0179 13.0081 3.5991 3.4908
Ag110cuscusRuOH 0.6307 7.8640 -1.4329 -0.5960 2.0376 -3.8137 2.2000 7.3610 1.0460 5.9367 1.4432 4.4941 1.0717 4.7042 14.1876 13.0513 3.8420 3.7231
Ag111cuscusMOH 0.4494 4.7075 -3.1029 -3.0890 0.4449 -3.2793 1.9300 7.5760 1.3040 9.7504 3.8742 5.8765 0.1110 4.5465 10.1720 10.1720 3.9043 3.7062
Co100cuscusMOH 0.6115 7.0690 -1.9499 -2.3685 1.0696 -3.2581 1.8800 7.8810 0.6620 6.9622 2.8618 4.1004 1.1726 4.7624 15.4871 14.7074 3.8892 5.0333
Co100cuscusRuOH 0.6864 7.3723 -1.6869 -1.8071 1.8887 -2.8380 2.2000 7.3610 1.0460 5.7552 2.5189 3.2360 1.1136 4.6931 14.1116 14.7936 3.6426 3.8378
Co101cuscusMOH 0.6226 6.9238 -1.7576 -2.6047 1.2308 -3.3430 1.8800 7.8810 0.6620 7.0474 2.7431 4.3039 1.0657 4.7601 15.5052 14.7057 3.3607 4.1754
Co101cuscusRuOH 0.6843 6.9564 -1.6025 -1.3438 1.9452 -3.0613 2.2000 7.3610 1.0460 5.8010 2.1489 3.6520 1.4486 4.7083 14.1263 14.7886 3.4763 3.8014
Co110cuscusMOH 0.6218 6.9971 -1.6567 -1.3977 1.2004 -3.1221 1.8800 7.8810 0.6620 7.0210 2.3411 4.6798 2.2297 4.8210 15.5320 14.4510 3.8101 3.8273
Co110cuscusRuOH 0.6862 7.1865 -1.3212 -0.5665 1.9497 -3.6600 2.2000 7.3610 1.0460 5.9762 1.4822 4.4944 1.5067 4.7619 14.1851 14.4630 3.6506 3.1459
Co111bricusRuOH 0.7335 5.5999 -1.8755 -1.1955 1.8274 -3.0784 2.2000 7.3610 1.0460 5.7027 1.6574 4.0449 0.6918 4.6615 14.0837 14.0837 4.2355 1.9131
Co111cuscusMOH 0.6351 5.5598 -1.7621 -1.5132 1.2262 -2.9006 1.8800 7.8810 0.6620 7.0747 2.3344 4.7408 0.7881 4.6685 15.5126 15.5126 4.1620 1.9534
Cu100cuscusMOH 0.4505 6.8728 -2.1142 -2.1147 0.3431 -3.2171 1.9000 7.7260 1.2350 9.3498 3.7786 5.5700 0.9038 4.6372 9.8732 11.8665 3.8607 5.3487
Cu101cuscusMOH 0.5261 6.7883 -2.1432 -2.1130 0.5350 -3.3386 1.9000 7.7260 1.2350 9.3897 3.6538 5.7354 0.5701 4.6638 9.8583 11.8500 3.3317 3.9988
Cu110bricusRuOH 0.6929 7.0604 -1.2944 -4.7895 1.8517 -3.8975 2.2000 7.3610 1.0460 6.0527 1.4854 4.5674 1.2571 4.7409 14.2534 13.0282 3.8628 3.6106
Cu110cuscusMOH 0.4897 7.0293 -2.1494 -2.0656 0.3286 -3.4952 1.9000 7.7260 1.2350 9.3438 3.4252 5.9165 1.0157 4.7392 9.8572 13.0490 3.7770 3.8581
Cu111bricusRuOH 1.0061 5.3617 -4.0761 -5.4715 0.5754 -3.4042 2.2000 7.3610 1.0460 5.4953 1.7477 3.7476 1.0758 4.5640 13.9420 13.9420 4.2140 2.4567
Fe100cuscusMOH 0.5361 7.2616 -1.5651 -1.5956 1.1773 -2.9812 1.8300 7.9020 0.1530 5.9693 2.4477 3.5215 0.4680 4.6833 14.3443 14.1905 3.7772 4.7485
Fe101cuscusRuOH 0.6576 6.9263 -1.5793 -1.2766 1.8844 -2.8598 2.2000 7.3610 1.0460 5.7853 2.0909 3.6945 1.2614 4.6584 14.1299 14.2306 3.4784 3.8394
Fe110bricusRuOH 0.6489 7.0137 -1.2608 -0.6033 1.8770 -3.2831 2.2000 7.3610 1.0460 6.1078 1.4765 4.6314 1.6371 4.7614 14.2487 14.1625 3.8004 3.5691
Fe110cuscusMOH 0.5979 6.9477 -1.6884 -1.4593 1.1928 -3.0184 1.8300 7.9020 0.1530 5.9389 2.3279 3.6108 0.7204 4.7794 14.3730 14.1837 3.7989 3.7710
Fe110cuscusRuOH 0.6927 7.3200 -1.3056 -0.5790 1.9197 -3.6717 2.2000 7.3610 1.0460 5.9867 1.4814 4.5048 1.5584 4.7308 14.2117 14.1721 3.6950 3.3079
Fe111bricusRuOH 0.7555 5.6775 -1.8358 -1.1767 1.8719 -2.8436 2.2000 7.3610 1.0460 5.6923 1.6403 4.0519 0.5810 4.6302 14.0582 14.0582 4.2319 1.9877
Fe111cuscusMOH 0.6438 5.6014 -1.5726 -1.3027 1.2695 -2.6944 1.8300 7.9020 0.1530 5.9885 2.1247 3.8642 0.7652 4.6168 14.3614 14.3614 4.1701 1.9877
Ir100cuscusRuOH 0.6900 7.2271 -1.3925 -1.4416 1.8451 -3.3519 2.2000 7.3610 1.0460 6.0096 2.4820 3.5276 2.4710 4.6868 14.2458 10.6953 3.7921 4.3619
Ir101cuscusMOH 0.4260 6.7222 -2.7734 -3.0163 0.7634 -3.9240 2.2000 8.9670 1.5640 6.7656 2.4178 4.3481 0.7882 4.6893 7.3735 10.6783 3.2610 3.6458
Ir101cuscusRuOH 0.6093 7.0354 -1.3865 -3.3678 1.9186 -3.8291 2.2000 7.3610 1.0460 5.9688 2.1770 3.7916 1.3217 4.6852 14.2367 10.6643 3.3796 3.9521
Ir110bricusRuOH 0.6306 7.0560 -1.1821 -0.5238 1.9698 -3.4611 2.2000 7.3610 1.0460 6.2190 1.4319 4.7870 1.3680 4.7629 14.2984 12.4435 3.7720 3.5274
Ir110cuscusMOH 0.4204 6.9185 -1.8427 -1.1954 2.0000 -3.6759 2.2000 8.9670 1.5640 6.9602 1.6264 5.3343 0.5323 4.7465 7.4450 12.4363 3.7336 3.3852
Ir111bricusRuOH 0.6798 6.1040 -2.3343 -2.7595 0.9339 -3.4698 2.2000 7.3610 1.0460 5.8592 1.5921 4.2665 1.4226 4.6384 14.1219 14.1219 4.1727 2.0792
